frame: 1 detections_num: 69 timestamp: 1532402927.647951
detection: id: 1  position: 373.256000 1130.419000 0.800000  size: 0.621000 0.669000 1.642000  angle: 0.000000 0.000000 -0.368107
detection: id: 2  position: 378.888000 1153.348000 0.865000  size: 0.775000 0.769000 1.711000  angle: 0.000000 -0.000000 -1.970250
detection: id: 3  position: 353.794000 1132.355000 0.602000  size: 2.011000 4.633000 1.573000  angle: 0.000000 0.000000 -0.403398
detection: id: 4  position: 376.130000 1158.507000 0.938000  size: 0.752000 0.819000 1.637000  angle: 0.000000 0.000000 1.130502
detection: id: 5  position: 410.066000 1196.767000 0.656000  size: 0.427000 0.359000 0.794000  angle: 0.000000 -0.000000 -2.025542
detection: id: 6  position: 372.664000 1129.247000 0.672000  size: 0.689000 1.770000 1.709000  angle: 0.000000 0.000000 -0.201865
detection: id: 7  position: 378.657000 1151.026000 0.833000  size: 0.661000 0.703000 1.839000  angle: 0.000000 -0.000000 -1.992817
detection: id: 8  position: 409.132000 1201.516000 1.010000  size: 1.837000 4.320000 1.631000  angle: 0.000000 0.000000 1.095875
detection: id: 9  position: 396.335000 1122.142000 0.513000  size: 0.648000 0.709000 1.609000  angle: 0.000000 0.000000 3.098448
detection: id: 10  position: 394.842000 1158.711000 0.487000  size: 1.977000 0.703000 1.149000  angle: 0.000000 -0.000000 -0.418879
detection: id: 11  position: 408.524000 1190.723000 0.733000  size: 1.910000 0.555000 1.055000  angle: 0.000000 -0.000000 -0.406156
detection: id: 12  position: 417.399000 1193.550000 0.994000  size: 1.019000 0.915000 1.670000  angle: 0.000000 0.000000 2.754112
detection: id: 13  position: 423.600000 1167.637000 1.109000  size: 0.934000 0.891000 1.835000  angle: 0.000000 -0.000000 -1.867188
detection: id: 14  position: 356.068000 1144.504000 0.820000  size: 0.800000 0.908000 1.835000  angle: 0.000000 0.000000 -0.367409
detection: id: 15  position: 431.605000 1172.942000 1.099000  size: 0.872000 0.903000 1.719000  angle: 0.000000 0.000000 2.798217
detection: id: 16  position: 394.050000 1156.846000 0.491000  size: 1.964000 0.694000 1.131000  angle: 0.000000 -0.000000 -0.383693
detection: id: 17  position: 393.357000 1149.173000 0.741000  size: 1.708000 4.010000 1.631000  angle: 0.000000 -0.000000 -1.990321
detection: id: 18  position: 371.763000 1129.172000 0.642000  size: 0.790000 0.741000 1.725000  angle: 0.000000 0.000000 -0.298294
detection: id: 19  position: 409.989000 1164.099000 1.623000  size: 2.877000 10.201000 3.595000  angle: 0.000000 -0.000000 -1.897051
detection: id: 20  position: 392.077000 1104.169000 1.034000  size: 2.135000 4.956000 2.170000  angle: 0.000000 0.000000 2.734634
detection: id: 21  position: 391.361000 1119.695000 1.013000  size: 0.767000 0.951000 1.835000  angle: 0.000000 -0.000000 -2.057429
detection: id: 22  position: 387.520000 1143.568000 0.508000  size: 1.967000 0.704000 0.962000  angle: 0.000000 -0.000000 -0.361562
detection: id: 23  position: 392.526000 1153.183000 0.470000  size: 2.060000 0.759000 1.100000  angle: 0.000000 -0.000000 -0.418600
detection: id: 24  position: 396.227000 1164.778000 0.428000  size: 1.993000 0.744000 1.245000  angle: 0.000000 -0.000000 -0.380412
detection: id: 25  position: 401.269000 1173.484000 0.482000  size: 0.476000 0.461000 0.720000  angle: 0.000000 0.000000 -1.174711
detection: id: 26  position: 399.012000 1167.878000 0.547000  size: 1.969000 0.716000 1.092000  angle: 0.000000 -0.000000 -0.394741
detection: id: 27  position: 421.971000 1233.295000 2.351000  size: 2.909000 6.908000 3.558000  angle: 0.000000 0.000000 1.228031
detection: id: 28  position: 438.348000 1171.033000 1.096000  size: 0.803000 0.870000 1.780000  angle: 0.000000 0.000000 -0.354249
detection: id: 29  position: 382.736000 1209.839000 1.880000  size: 0.842000 0.884000 1.749000  angle: 0.000000 0.000000 -1.042660
detection: id: 30  position: 386.807000 1141.706000 0.542000  size: 1.990000 0.726000 0.921000  angle: 0.000000 -0.000000 -0.385037
detection: id: 31  position: 410.519000 1166.187000 2.295000  size: 0.708000 0.863000 1.616000  angle: 0.000000 -0.000000 -1.588546
detection: id: 32  position: 379.731000 1153.227000 0.830000  size: 0.734000 0.775000 1.821000  angle: 0.000000 -0.000000 -1.992241
detection: id: 33  position: 397.032000 1166.701000 0.466000  size: 2.069000 0.712000 1.088000  angle: 0.000000 -0.000000 -0.415319
detection: id: 34  position: 377.041000 1147.530000 0.780000  size: 0.733000 0.746000 1.695000  angle: 0.000000 -0.000000 -2.079228
detection: id: 35  position: 417.931000 1194.143000 0.944000  size: 0.913000 0.873000 1.697000  angle: 0.000000 0.000000 2.719206
detection: id: 36  position: 390.073000 1149.573000 0.410000  size: 2.050000 0.693000 1.081000  angle: 0.000000 -0.000000 -0.364687
detection: id: 37  position: 394.039000 1143.246000 0.615000  size: 1.847000 4.115000 1.526000  angle: 0.000000 -0.000000 -1.989431
detection: id: 38  position: 391.734000 1151.279000 0.502000  size: 1.977000 0.764000 1.144000  angle: 0.000000 -0.000000 -0.366240
detection: id: 39  position: 386.070000 1139.830000 0.531000  size: 1.842000 0.677000 0.885000  angle: 0.000000 -0.000000 -0.367584
detection: id: 40  position: 401.282000 1193.478000 0.862000  size: 0.793000 1.000000 1.604000  angle: 0.000000 0.000000 -0.154095
detection: id: 41  position: 360.932000 1129.086000 0.585000  size: 1.939000 4.819000 1.736000  angle: 0.000000 0.000000 -0.403398
detection: id: 42  position: 400.519000 1171.691000 0.594000  size: 2.073000 0.633000 1.078000  angle: 0.000000 -0.000000 -0.355035
detection: id: 43  position: 395.651000 1160.538000 0.510000  size: 1.945000 0.649000 1.110000  angle: 0.000000 -0.000000 -0.436332
detection: id: 44  position: 398.565000 1110.043000 1.788000  size: 3.016000 3.992000 2.916000  angle: 0.000000 0.000000 2.734634
detection: id: 45  position: 398.222000 1166.030000 0.560000  size: 1.964000 0.720000 1.104000  angle: 0.000000 -0.000000 -0.424429
detection: id: 46  position: 351.068000 1126.367000 0.620000  size: 1.972000 4.698000 1.581000  angle: 0.000000 0.000000 -0.379487
detection: id: 47  position: 390.311000 1121.642000 0.818000  size: 0.759000 0.837000 1.916000  angle: 0.000000 -0.000000 -2.039976
detection: id: 48  position: 376.240000 1148.028000 0.606000  size: 0.739000 0.771000 1.766000  angle: 0.000000 -0.000000 -2.069995
detection: id: 49  position: 389.614000 1116.036000 0.953000  size: 0.694000 0.902000 1.807000  angle: 0.000000 -0.000000 -2.066976
detection: id: 50  position: 409.019000 1191.781000 0.642000  size: 0.336000 0.332000 0.693000  angle: 0.000000 0.000000 -0.425843
detection: id: 51  position: 378.594000 1151.795000 0.783000  size: 0.751000 0.807000 1.706000  angle: 0.000000 -0.000000 -2.045177
detection: id: 52  position: 388.957000 1123.644000 0.707000  size: 0.777000 0.958000 1.757000  angle: 0.000000 0.000000 2.762245
detection: id: 53  position: 388.978000 1139.303000 0.980000  size: 1.787000 4.535000 2.059000  angle: 0.000000 -0.000000 -2.006884
detection: id: 54  position: 419.296000 1191.476000 1.110000  size: 0.942000 1.040000 1.937000  angle: 0.000000 0.000000 2.841379
detection: id: 55  position: 369.841000 1128.747000 0.743000  size: 0.687000 0.716000 1.730000  angle: 0.000000 -0.000000 -1.839717
detection: id: 56  position: 389.455000 1221.754000 1.957000  size: 0.900000 0.956000 1.827000  angle: 0.000000 -0.000000 -3.065861
detection: id: 57  position: 390.721000 1120.160000 0.880000  size: 0.728000 0.858000 2.000000  angle: 0.000000 -0.000000 -1.987616
detection: id: 58  position: 385.930000 1201.138000 1.613000  size: 0.767000 0.872000 1.809000  angle: 0.000000 0.000000 2.241230
