41
1  11  1535657108.301401
334.539851 658.702531 2.879708
1  361.893833 648.630670 1.964000  2.814400 8.582317 3.078000  2.800227
2  339.401668 659.554806 0.573000  0.443411 0.451116 1.017000  2.813452
3  340.187359 661.846984 0.526000  0.314783 0.563009 1.221000  -1.878683
4  324.507499 664.675509 0.389000  1.013609 0.654664 1.135000  2.517158
5  330.679843 640.819422 1.158000  2.161001 4.770625 1.723000  2.411277
6  345.321474 656.078052 1.196000  2.003651 4.790147 2.000000  2.851001
7  349.071469 634.679979 1.725000  2.183692 4.229527 1.563000  -2.346891
8  302.527849 691.678249 1.008000  3.514211 14.323987 3.606000  -2.144430
9  320.990221 668.255799 0.879000  2.087499 4.845683 2.347000  -0.538573
10  345.233305 628.183968 1.712000  1.873905 3.922878 1.555000  2.426866
11  348.027605 646.242952 1.444000  2.078464 5.469540 1.996000  2.836921

2  11  1535657108.801262
332.079758 659.418857 2.851366
1  358.239897 649.776479 1.978000  2.752653 8.724327 3.078000  2.818431
2  339.162754 659.626394 0.607000  0.718401 0.655266 1.017000  2.784108
3  340.566591 661.958710 0.576000  0.450768 0.511772 1.221000  -1.957572
4  324.096441 664.335529 0.395000  0.897644 0.737574 1.135000  2.605826
5  330.633177 641.235170 1.212000  2.158991 4.330945 1.723000  2.451935
6  342.797012 656.380346 1.180000  2.143457 4.697542 2.000000  2.868404
7  349.658354 634.964998 1.748000  1.982726 4.252273 1.563000  -2.326306
8  299.942570 690.169259 1.008000  3.177164 13.557988 3.606000  -2.332018
9  321.254733 667.666638 0.885000  2.321544 4.466757 2.347000  -0.563141
10  345.427371 628.407134 1.780000  1.751999 3.906050 1.555000  2.425369
11  348.014805 645.816607 1.482000  2.074717 5.572034 1.996000  2.888906

3  11  1535657109.301132
329.647494 660.196689 2.828707
1  354.753094 651.363841 1.992000  2.782962 8.631713 3.078000  2.812411
2  339.400219 659.510918 0.640000  0.491718 0.605706 1.017000  2.808305
3  340.322189 661.734848 0.626000  0.590069 0.588835 1.221000  -1.943481
4  324.086283 664.654534 0.402000  0.780679 0.531540 1.135000  2.522752
5  330.819817 640.828473 1.267000  2.224489 4.492664 1.723000  2.388496
6  341.110550 657.221400 1.165000  2.170840 4.789353 2.000000  2.889138
7  349.202621 634.743382 1.771000  1.930288 4.238781 1.563000  -2.362093
8  298.676212 689.945716 1.008000  3.368431 13.760833 3.606000  -2.200384
9  321.162555 668.086164 0.891000  1.932185 4.410849 2.347000  -0.571716
10  345.279463 628.560245 1.849000  2.006617 3.823851 1.555000  2.382060
11  348.524550 645.851746 1.520000  2.270380 5.666354 1.996000  2.797213

4  12  1535657109.801064
327.233834 661.025514 2.817706
1  287.682172 668.548550 0.723000  2.445712 5.191107 1.975000  1.005422
2  351.882165 651.890546 1.992000  2.724754 8.861404 3.078000  2.820643
3  339.626988 659.590936 0.674000  0.580048 0.567109 1.017000  2.825150
4  340.305188 661.655971 0.676000  0.456345 0.569777 1.221000  -1.988151
5  324.626030 664.384797 0.409000  0.793645 0.748518 1.135000  2.598698
6  330.832755 641.035766 1.322000  2.142476 4.396611 1.723000  2.385135
7  337.549122 658.087148 1.149000  2.056913 5.001671 2.000000  2.859145
8  349.287520 634.441687 1.794000  1.916397 4.178847 1.563000  -2.275319
9  298.274959 688.129017 1.008000  3.421168 13.763832 3.606000  -2.296173
10  321.124509 668.050416 0.897000  2.123872 4.492104 2.347000  -0.528981
11  344.640429 628.037803 1.917000  1.841623 4.199924 1.555000  2.445641
12  348.308457 646.110306 1.559000  1.833324 5.668920 1.996000  2.910138

5  12  1535657110.200261
325.362312 661.686833 2.815673
1  289.088976 670.110700 0.687000  2.428473 5.240972 1.975000  0.984269
2  350.080890 652.714414 1.991000  2.881131 8.881403 3.078000  2.833204
3  339.571422 659.691701 0.701000  0.539451 0.624564 1.017000  2.714648
4  340.446937 661.651135 0.720000  0.417940 0.626509 1.221000  -1.907935
5  324.285028 664.352405 0.415000  0.857659 0.778799 1.135000  2.599620
6  330.747396 640.825142 1.366000  2.075018 4.408972 1.723000  2.404299
7  335.688895 658.722058 1.133000  2.020302 4.914573 2.000000  2.807828
8  349.270307 634.455535 1.812000  1.972748 4.070585 1.563000  -2.347310
9  297.635832 687.115435 1.008000  2.936167 13.870980 3.606000  -2.221052
10  321.087834 668.332307 0.902000  2.262113 4.622232 2.347000  -0.512439
11  344.629926 628.184604 1.911000  2.166635 3.929209 1.555000  2.511170
12  348.183480 645.959991 1.589000  2.105485 5.755711 1.996000  2.863505

6  13  1535657110.651414
323.362925 662.405363 2.807968
1  290.293369 672.519681 0.702000  2.309962 5.241757 1.975000  0.864875
2  318.028501 671.784928 0.410000  0.444999 0.345667 1.312000  -1.828566
3  347.868486 653.110930 1.991000  2.793885 8.867103 3.078000  2.822660
4  339.468806 659.737882 0.731000  0.578215 0.584256 1.017000  2.790961
5  340.510610 661.720626 0.771000  0.415535 0.626370 1.221000  -1.961715
6  324.501919 664.073972 0.421000  0.882494 0.671864 1.135000  2.585991
7  331.061116 640.868053 1.415000  2.117023 4.622692 1.723000  2.417827
8  333.509198 659.515365 1.114000  2.096726 4.891527 2.000000  2.855814
9  349.162300 634.976541 1.833000  2.185673 4.277212 1.563000  -2.338256
10  296.703044 685.917391 1.008000  2.821172 13.835803 3.606000  -2.256838
11  321.218926 667.722329 0.907000  2.160456 4.600232 2.347000  -0.525268
12  345.287244 629.242760 1.904000  2.097795 3.650551 1.555000  2.441762
13  348.040041 646.738234 1.624000  2.143790 5.458869 1.996000  2.819446

7  13  1535657111.149672
321.358449 663.164911 2.781689
1  292.750180 675.201081 0.593000  2.481355 5.287019 1.975000  0.981310
2  317.582943 671.827355 0.410000  0.606329 0.500289 1.312000  -1.883129
3  345.459007 654.329652 1.990000  2.809505 8.911811 3.078000  2.833465
4  339.445238 660.088022 0.765000  0.619814 0.544842 1.017000  2.810237
5  340.753740 661.912038 0.826000  0.397875 0.588272 1.221000  -1.920005
6  324.051104 664.179012 0.428000  0.729742 0.529524 1.135000  2.603194
7  330.816120 640.961087 1.401000  2.395957 4.663380 1.723000  2.487940
8  331.112960 659.998099 1.093000  2.171737 4.705988 2.000000  2.843450
9  349.094238 634.888916 1.856000  2.043772 4.247918 1.563000  -2.336216
10  295.829461 684.379548 1.008000  3.215461 13.571832 3.606000  -2.211080
11  321.754713 668.201299 0.913000  2.161321 4.598889 2.347000  -0.513946
12  344.713864 628.657829 1.896000  2.053493 4.097036 1.555000  2.480689
13  347.898987 646.210075 1.662000  2.104419 5.751714 1.996000  2.759736

8  13  1535657111.649009
319.518145 663.938454 2.751458
1  294.216339 677.680692 0.484000  2.481883 5.348551 1.975000  0.927920
2  317.852332 671.488338 0.410000  0.494261 0.369869 1.312000  -1.819711
3  342.808972 655.400111 1.990000  2.756991 8.467450 3.078000  2.837728
4  339.076194 659.810776 0.798000  0.624076 0.654579 1.017000  2.792461
5  324.167910 664.549812 0.472000  0.990040 0.434465 1.135000  2.561933
6  330.884747 640.847910 1.386000  1.945620 4.682729 1.723000  2.423094
7  329.216857 660.934602 1.072000  2.345795 4.812077 2.000000  2.803693
8  319.133188 670.103366 0.010000  1.168995 0.615932 0.514000  -1.301770
9  348.716224 634.351444 1.879000  2.142752 3.966275 1.563000  -2.269252
10  294.368512 683.152415 1.133000  3.007531 13.837487 3.606000  -2.274127
11  321.206828 668.513629 0.919000  2.124486 4.568137 2.347000  -0.488162
12  345.063711 628.540424 1.888000  1.595085 3.983699 1.555000  2.462752
13  348.184783 646.422414 1.700000  2.064340 5.609277 1.996000  2.842787

9  13  1535657112.148325
317.898631 664.660818 2.738415
1  296.846921 680.457304 0.376000  2.341451 5.213101 1.975000  0.909639
2  317.981564 671.659245 0.448000  0.548243 0.410931 1.312000  -1.841711
3  340.106545 655.908541 1.969000  2.695372 8.664960 3.078000  2.812908
4  339.341222 660.092701 0.832000  0.670062 0.618132 1.017000  2.813778
5  324.357147 664.474672 0.517000  0.793783 0.684558 1.135000  2.536815
6  330.844491 640.862080 1.372000  2.050454 4.453202 1.723000  2.477190
7  326.894758 661.959585 1.058000  1.932589 4.878723 2.000000  2.853490
8  319.186614 670.290022 0.010000  1.170478 0.459535 0.514000  -1.365754
9  348.335937 635.048456 1.902000  2.070535 4.139396 1.563000  -2.268896
10  292.642875 681.241395 1.258000  3.139337 13.531224 3.606000  -2.288710
11  321.466811 667.958537 0.925000  2.032192 4.440490 2.347000  -0.543895
12  344.973241 628.327927 1.880000  1.834093 3.569024 1.555000  2.467710
13  347.782384 646.730721 1.738000  2.182264 5.561526 1.996000  2.861506

10  14  1535657112.648213
316.336964 665.358293 2.735295
1  303.155330 694.387010 -0.388000  2.241266 4.831527 1.518000  -2.287139
2  285.128301 666.338037 0.671000  2.093587 4.846263 1.597000  0.917842
3  298.875520 682.714192 0.270000  2.327700 5.192271 1.975000  0.920147
4  317.628057 672.266979 0.485000  0.431446 0.492522 1.312000  -1.873672
5  337.597225 656.605219 1.948000  2.859329 8.609297 3.078000  2.797053
6  324.291348 664.195984 0.562000  0.847699 0.649846 1.135000  2.583944
7  330.672136 641.029351 1.357000  2.071166 4.520894 1.723000  2.372652
8  324.552879 662.384289 1.044000  1.974585 4.899496 2.000000  2.811661
9  318.937720 670.132210 0.010000  1.147842 0.618295 0.514000  -1.385802
10  349.052447 634.380878 1.925000  2.044911 4.497791 1.563000  -2.363185
11  291.089817 680.816660 1.258000  3.215858 13.823460 3.606000  -2.323928
12  321.285947 668.680602 0.931000  2.084789 4.524462 2.347000  -0.540472
13  344.353255 628.334061 1.873000  2.181032 4.162418 1.555000  2.352135
14  348.101464 645.772166 1.782000  2.165381 5.542139 1.996000  2.739986

11  14  1535657113.148632
314.959323 665.965589 2.731771
1  301.944719 692.741861 -0.260000  2.339408 5.096159 1.518000  -2.387480
2  287.723169 668.277878 0.632000  2.238430 5.094355 1.597000  0.877256
3  301.431415 686.458600 0.165000  2.318051 5.318320 1.975000  0.878503
4  317.939150 671.966907 0.523000  0.598805 0.450498 1.312000  -1.820667
5  335.715288 657.329913 1.926000  2.647251 8.820547 3.078000  2.816471
6  324.033733 664.428947 0.606000  0.852359 0.653742 1.135000  2.542839
7  331.039134 641.009360 1.367000  2.349002 4.236689 1.723000  2.410928
8  323.402894 662.615197 1.030000  2.038679 4.772943 2.000000  2.836258
9  319.122501 669.735237 0.047000  1.363688 0.379398 0.514000  -1.380065
10  348.967161 634.781952 1.949000  2.151704 4.065864 1.563000  -2.370982
11  288.870022 679.132647 1.313000  2.960642 13.764271 3.606000  -2.478998
12  320.656328 668.170909 0.937000  2.313576 4.480728 2.347000  -0.538890
13  344.754139 629.143911 1.924000  2.091709 3.634531 1.555000  2.567185
14  348.129902 645.956132 1.826000  1.938020 5.952710 1.996000  2.855657

12  14  1535657113.648526
313.728066 666.516685 2.730124
1  300.682276 690.661319 -0.132000  2.260078 5.027505 1.518000  -2.236894
2  289.311997 670.608037 0.594000  2.188735 4.730754 1.597000  0.796346
3  303.922804 689.696657 0.059000  2.453103 5.296758 1.975000  0.982655
4  317.728629 671.809132 0.560000  0.392106 0.641268 1.312000  -1.923233
5  332.533291 658.491751 1.905000  2.899232 8.886419 3.078000  2.836077
6  323.951718 664.545867 0.651000  0.876350 0.517437 1.135000  2.524319
7  331.026749 641.057631 1.377000  2.135270 4.367760 1.723000  2.436752
8  322.022710 663.817723 1.016000  1.974308 5.076472 2.000000  2.758380
9  319.285345 670.349623 0.085000  1.201560 0.701477 0.514000  -1.298310
10  348.326216 634.877642 1.972000  1.831023 4.036675 1.563000  -2.347331
11  287.760915 678.819379 1.369000  3.317491 13.958536 3.606000  -2.616743
12  321.200915 668.395389 0.943000  2.297550 4.485295 2.347000  -0.602103
13  345.553923 628.473394 1.976000  1.361302 3.665221 1.555000  2.455353
14  348.162403 646.285090 1.869000  2.008777 5.510941 1.996000  2.805114

13  15  1535657114.148383
312.624324 667.023459 2.729569
1  298.895507 689.341535 -0.004000  2.243986 4.968299 1.518000  -2.309529
2  291.003207 673.066052 0.555000  2.162617 4.890990 1.597000  0.855424
3  306.420999 693.505990 -0.047000  2.480394 5.341709 1.975000  0.847972
4  317.879699 671.826244 0.573000  0.477473 0.422064 1.312000  -1.808813
5  330.398007 659.570184 1.884000  2.767231 8.673209 3.078000  2.815111
6  324.131010 664.610861 0.695000  0.794096 0.708586 1.135000  2.535813
7  330.974128 641.324101 1.387000  2.089623 4.553648 1.723000  2.442818
8  319.933353 663.825371 1.002000  2.184799 4.811043 2.000000  2.746529
9  319.420643 670.456018 0.122000  1.275113 0.618545 0.514000  -1.291820
10  349.311314 634.465676 1.995000  2.130228 4.235970 1.563000  -2.311719
11  285.392778 677.908091 1.449000  3.214726 13.886011 3.606000  -2.789171
12  320.973730 668.429125 0.949000  2.194947 4.431659 2.347000  -0.583961
13  307.469938 700.042786 0.014000  2.707404 7.191567 2.455000  -2.317793
